Model,Dataset,Bert,CHRF,ROUGE,METEOR,SACRE
Tamil LLaMA Base,All,0.6722457122127965,25.93078127924911,0.0,0.051646683120269245,0.8442501010928941
Tamil LLaMA Base,Thirukural,0.6786175925928847,23.528428260131825,0.0,0.051852173550315045,0.16272215695910938
Tamil LLaMA Base,Agananuru,0.6541516080498695,26.350489165163378,0.0,0.05685572302937274,1.1507716109840407
Tamil LLaMA Base,Purananuru,0.6690740279662304,26.647260446120836,0.0,0.04560330302898128,0.7882049242059359
Tamil LLaMA Web,All,0.6620046901253035,35.30029344015681,0.0,0.11219990570967167,5.129861528241133
Tamil LLaMA Web,Thirukural,0.6461602243265712,27.855858893040924,0.0,0.07575965184562652,0.27529974585517525
Tamil LLaMA Web,Agananuru,0.6870042473077774,39.719749745062835,0.0,0.20123163002451797,7.884293395399069
Tamil LLaMA Web,Purananuru,0.6903978005433694,35.43972477746152,0.0,0.1451559260000347,5.720463951546025
Tamil LLaMA Aug,All,0.6565435059228033,34.19882554037235,0.0,0.10575267118151871,3.4918556352945664
Tamil LLaMA Aug,Thirukural,0.6423790759610054,27.434165582681498,0.0,0.0782742016566044,0.21307991592070855
Tamil LLaMA Aug,Agananuru,0.6832967579364777,37.73009016504121,0.0,0.17854999474114677,5.229046605091318
Tamil LLaMA Aug,Purananuru,0.6774086249180329,34.674113152324416,0.0,0.1247973764232746,4.067172443606053
Tamil Mistral Base,All,0.6105375842384573,28.24125600706646,0.0,0.060552955505452685,0.3900531953283019
Tamil Mistral Base,Thirukural,0.5917895891164479,23.60313103290476,0.0,0.058478142533937044,0.08911472566856922
Tamil Mistral Base,Agananuru,0.6344864651560783,28.749946710480366,0.0,0.08187018438002967,0.5431450509294067
Tamil Mistral Base,Purananuru,0.649910080127227,30.07226890794305,0.0,0.0457647752549014,0.36909307652204587
Tamil Mistral Web,All,0.6620009892954016,35.696829887520636,0.0,0.11095520297704417,5.4329578105146314
Tamil Mistral Web,Thirukural,0.6439962436382035,27.30594917253332,0.0,0.07479703227455362,0.16785043529803093
Tamil Mistral Web,Agananuru,0.6865375503897667,39.39221128469278,0.0,0.18823615264842483,7.897806311201691
Tamil Mistral Web,Purananuru,0.6982360894863422,36.85962803450705,0.0,0.1550013239148908,6.8004054919027
Tamil Mistral Aug,All,0.6699365630464734,35.12778484798677,0.0,0.1138400199796326,4.880024824864427
Tamil Mistral Aug,Thirukural,0.6568315459373302,28.136501083856313,0.0,0.07559854421630441,0.281914936164729
Tamil Mistral Aug,Agananuru,0.6926170766353608,38.78335408081724,0.0,0.19593877242833702,6.789008834809725
Tamil Mistral Aug,Purananuru,0.6913659756000226,35.518780203778455,0.0,0.16004940917384988,5.953817639662872
